"","MES","CONGLOME","VIVIENDA","HOGAR","CODPERSO","UBIGEO","DOMINIO","ESTRATO","CODINFOR","P300A","P301A","P207","P507","P513T","P524A1","P401H1","P401H2","P401H3","P401H4","P401H5","P401H6"
"3002","1938348114200108154",19383,48,11,4,200108,1,5,4,4,7,2,3,48,650,2,2,2,2,2,2
"3003","1938359112200108152",19383,59,11,2,200108,1,5,2,4,5,1,4,60,1200,2,2,2,2,2,2
"3004","1938369112200108152",19383,69,11,2,200108,1,5,2,4,6,2,6,42,950,2,2,2,2,2,2
"3005","1939126111200207171",19391,26,11,1,200207,1,7,1,4,4,1,4,40,290,2,2,2,2,2,2
"3006","193927112200209182",19392,7,11,2,200209,1,8,2,4,3,2,4,16,240,2,2,2,2,2,2
"3007","193927113200209183",19392,7,11,3,200209,1,8,3,4,5,1,4,8,40,2,2,2,2,2,2
"3008","19433256114200201474",19433,256,11,4,200201,4,7,4,4,4,1,4,16,40,2,2,2,2,2,2
"3009","194418113210101623",19441,8,11,3,210101,6,2,3,4,5,1,4,45,135,2,2,2,2,2,2
"3010","1944145112210101622",19441,45,11,2,210101,6,2,2,2,6,2,4,54,1100,2,2,2,2,2,2
"3011","19441101111210101622",19441,101,11,1,210101,6,2,2,1,6,1,4,53,600,2,2,2,2,2,2
"3012","19441101114210101624",19441,101,11,4,210101,6,2,4,4,10,1,3,46,1800,2,2,2,2,2,2
"3013","1947235112211105622",19472,35,11,2,211105,6,2,2,4,6,1,3,32,120,2,2,2,2,2,2
"3014","1947246111211105621",19472,46,11,1,211105,6,2,1,2,4,1,4,45,1200,2,2,2,2,2,2
"3015","1947268111211105621",19472,68,11,1,211105,6,2,1,2,5,1,4,48,960,2,2,2,2,2,2
